Recall,Precision
1.0,0.64
1.0,0.6666666666666666
1.0,0.6956521739130435
1.0,0.7272727272727273
1.0,0.7619047619047619
1.0,0.8
0.9375,0.7894736842105263
0.9375,0.8333333333333334
0.875,0.8235294117647058
0.875,0.875
0.8125,0.8666666666666667
0.75,0.8571428571428571
0.6875,0.8461538461538461
0.625,0.8333333333333334
0.5625,0.8181818181818182
0.5,0.8
0.5,0.8888888888888888
0.4375,0.875
0.375,0.8571428571428571
0.3125,0.8333333333333334
0.25,0.8
0.1875,0.75
0.125,0.6666666666666666
0.0625,0.5
0.0625,1.0
0.0,1.0
