Recall,Precision
1.0,0.64
0.9375,0.625
0.875,0.6086956521739131
0.875,0.6363636363636364
0.875,0.6666666666666666
0.8125,0.65
0.8125,0.6842105263157895
0.75,0.6666666666666666
0.75,0.7058823529411765
0.6875,0.6875
0.625,0.6666666666666666
0.625,0.7142857142857143
0.5625,0.6923076923076923
0.5,0.6666666666666666
0.4375,0.6363636363636364
0.4375,0.7
0.375,0.6666666666666666
0.375,0.75
0.3125,0.7142857142857143
0.25,0.6666666666666666
0.25,0.8
0.1875,0.75
0.125,0.6666666666666666
0.0625,0.5
0.0625,1.0
0.0,1.0
