Recall,Precision
1.0,0.64
0.9375,0.625
0.9375,0.6521739130434783
0.9375,0.6818181818181818
0.9375,0.7142857142857143
0.9375,0.75
0.875,0.7368421052631579
0.8125,0.7222222222222222
0.75,0.7058823529411765
0.75,0.75
0.75,0.8
0.6875,0.7857142857142857
0.6875,0.8461538461538461
0.625,0.8333333333333334
0.5625,0.8181818181818182
0.5,0.8
0.4375,0.7777777777777778
0.375,0.75
0.3125,0.7142857142857143
0.25,0.6666666666666666
0.1875,0.6
0.125,0.5
0.0625,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,1.0
