Precision,Recall,Thresholds
0.64,1.0,0.008089174018315213
0.6956521739130435,1.0,0.00903614371528491
0.7272727272727273,1.0,0.04328902373707901
0.7619047619047619,1.0,0.06718465217692864
0.8,1.0,0.1221578445553546
0.8421052631578947,1.0,0.16292633179049265
0.8888888888888888,1.0,0.282907474190014
0.9411764705882353,1.0,0.4694265114263744
0.9375,0.9375,0.580855613431404
0.9333333333333333,0.875,0.6659092929464533
1.0,0.875,0.7045930667199478
1.0,0.8125,0.7786619395509701
1.0,0.75,0.8112988138837292
1.0,0.6875,0.821646492886485
1.0,0.625,0.8219293099033046
1.0,0.5625,0.8222575390665923
1.0,0.5,0.8289596979042283
1.0,0.4375,0.8494988274241181
1.0,0.375,0.8951091193148746
1.0,0.3125,0.9256853755747233
1.0,0.25,0.9584800548537775
1.0,0.1875,0.9624514451807183
1.0,0.125,0.9879113951542834
1.0,0.0625,0.995392203540812
