true_label,probability,prediction
1,1.0,1
1,2.4387540598080903e-11,0
1,1.0,1
1,1.0,1
1,3.7588678697408895e-11,0
1,0.0,0
1,0.9907048344612122,1
1,1.0,1
1,0.9994248151779175,1
1,4.015820662117697e-11,0
1,0.9855871200561523,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,2.1230139282124583e-06,0
1,2.2171896263412094e-10,0
1,1.0,1
1,1.0,1
0,3.46325142086438e-20,0
1,1.0,1
0,2.6387971206766272e-27,0
1,0.9999969005584717,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,5.4510510262235384e-43,0
1,0.0004428852116689086,0
0,1.0,1
1,0.09379057586193085,0
0,0.0,0
1,1.0,1
0,3.3856772196551905e-41,0
1,1.0707312857530238e-12,0
0,0.0,0
1,0.9759342670440674,1
0,6.675131631395247e-28,0
1,0.9999998807907104,1
0,0.026371637359261513,0
1,0.9999998807907104,1
0,1.1820513065965562e-40,0
1,1.0,1
0,5.3261181848630965e-15,0
1,0.00011733672727132216,0
0,1.0,1
1,0.999981164932251,1
0,0.0,0
1,2.6345379211534237e-08,0
0,8.655260094748665e-40,0
1,1.1203385441582725e-10,0
1,0.9656258225440979,1
1,4.478242221495066e-09,0
1,1.411637556499089e-28,0
1,1.2506138347134765e-08,0
1,0.9999998807907104,1
1,8.611960263466619e-16,0
1,1.4998780883956897e-08,0
1,4.002350451529267e-17,0
1,1.0,1
1,3.9604363760931474e-15,0
1,1.0,1
1,2.5686624527403337e-24,0
1,1.0,1
1,2.3103694114708783e-20,0
1,1.0,1
1,5.681171245247585e-12,0
0,1.4062518738831126e-21,0
1,2.1408930185584145e-22,0
0,1.0,1
1,1.9455898964241086e-23,0
0,0.0,0
1,3.636339300200926e-30,0
0,0.0,0
1,4.949538175147428e-12,0
0,9.523251810164815e-19,0
1,2.449357403247381e-20,0
0,1.0,1
1,1.7764931778234405e-13,0
0,1.0,1
1,1.4705176312745927e-11,0
0,1.5414283107572988e-44,0
1,3.823191763174805e-11,0
0,0.0,0
1,5.1657205531359385e-14,0
0,2.3971164756194708e-17,0
1,2.7973642846568225e-10,0
0,0.012752210721373558,0
1,1.5555115789184226e-12,0
0,1.1399142046952804e-11,0
1,4.0988642601574865e-14,0
0,1.2598989559964302e-11,0
1,1.7277727859532632e-11,0
0,0.9999508857727051,1
1,8.803131834600464e-12,0
0,0.0,0
1,5.974545858045133e-11,0
0,0.0,0
1,1.0,1
1,2.746958341131797e-15,0
1,1.0,1
1,1.0,1
1,0.9999998807907104,1
1,5.6817029303601885e-08,0
1,1.0,1
1,1.0,1
1,4.381943188806028e-32,0
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.8752053380012512,1
1,1.0,1
0,7.448856922565028e-05,0
1,0.579789400100708,1
0,1.3001179646415588e-15,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,6.074261034759637e-18,0
0,2.4771363946300697e-25,0
1,1.0,1
0,0.0,0
1,1.0,1
0,1.4807986651113603e-12,0
1,1.0,1
0,0.9991042017936707,1
1,3.603906506555177e-08,0
0,2.3497043565168666e-31,0
1,1.0,1
0,9.840741199695913e-08,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,7.90196454882642e-31,0
1,1.0,1
1,2.745393968869198e-25,0
1,3.333578552089378e-11,0
1,3.400560424186933e-33,0
1,1.0,1
1,1.0324287147928376e-22,0
1,1.0,1
1,0.0,0
1,1.0,1
1,0.0,0
1,0.97109454870224,1
1,3.4962396684904186e-42,0
0,1.855561704451874e-14,0
1,3.9016661013135945e-09,0
0,0.0,0
1,9.76241262531194e-34,0
0,0.0,0
1,8.497348911034857e-32,0
0,0.0,0
1,0.0,0
0,6.396975513150097e-34,0
1,3.1127998227020726e-05,0
0,1.0,1
1,0.0,0
0,0.0,0
1,2.0313222538852548e-41,0
0,0.0,0
1,1.401298464324817e-45,0
0,0.0,0
1,4.6728690117651614e-18,0
0,1.996178406355213e-15,0
1,2.2586485704219364e-21,0
0,0.0072455317713320255,0
1,4.813618199605941e-23,0
0,0.0,0
1,0.0,0
0,1.0920285942878083e-12,0
1,5.615089132010292e-35,0
0,1.0,1
1,0.0,0
0,0.0,0
1,1.2856190250423497e-29,0
0,0.0,0
1,8.009861390963657e-22,0
1,2.355507171157734e-19,0
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.8899434804916382,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
0,2.127758191861062e-09,0
1,0.9999998807907104,1
0,9.053525867406775e-25,0
1,0.9993589520454407,1
0,0.0,0
1,1.0,1
0,0.0,0
1,0.9998748302459717,1
0,3.55915376564321e-39,0
1,1.0,1
0,0.9999990463256836,1
1,0.999687671661377,1
0,0.0,0
1,1.0,1
0,0.0,0
1,0.9998038411140442,1
0,0.0,0
1,0.9998101592063904,1
0,3.3048399572521703e-09,0
1,1.0,1
0,0.00011870225716847926,0
1,0.9997716546058655,1
0,0.0,0
1,0.9977654218673706,1
0,0.0151985390111804,0
1,0.9999628067016602,1
0,1.0,1
1,0.9999995231628418,1
0,0.0,0
1,0.9967166781425476,1
0,6.5392409034142e-26,0
1,4.694847288710946e-10,0
1,1.0,1
1,1.1974927474511787e-05,0
1,1.0,1
1,2.552777711439802e-10,0
1,1.0,1
1,5.241726007784546e-22,0
1,0.880719006061554,1
1,8.486184378853068e-05,0
0,8.107082701835447e-17,0
1,1.4649866042493187e-10,0
0,1.0,1
1,7.964002435301154e-08,0
0,0.0,0
1,0.00015643038204871118,0
0,0.0,0
1,9.475286901761137e-07,0
0,0.0,0
1,0.018519815057516098,0
0,1.0,1
